GSS_CD,la,denom,cases
E08000025,Birmingham,"540,680",152
E08000026,Coventry,"225,099",69
E08000027,Dudley,"193,366",57
E06000019,"Herefordshire, County of","126,720",60
E08000028,Sandwell,"107,863",23
E06000051,Shropshire,"190,013",90
E08000029,Solihull,"72,940",23
E10000028,Staffordshire,"564,692",194
E06000021,Stoke-on-Trent,"188,796",66
E06000020,Telford and Wrekin,"106,918",31
E08000030,Walsall,"163,496",39
E10000031,Warwickshire,"270,109",140
E08000031,Wolverhampton,"146,364",32
E10000034,Worcestershire,"344,715",131
